Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
1970,0,1,81205.0,0,0,1389571200,43,724,74,929,97,55,130,1,5,6,7,2,1,0,1,0,1,0,1
1958,0,2,81320.0,0,0,1360108800,61,183,33,493,59,103,57,1,4,3,10,2,0,0,0,0,0,0,0
1973,0,3,78901.0,0,1,1379376000,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,0
1951,0,2,94642.0,0,0,1392163200,35,879,143,797,106,143,143,0,5,7,9,1,0,0,1,1,0,0,0
1975,1,0,52614.0,0,1,1354320000,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0
1977,2,2,22701.0,1,0,1378339200,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0
1983,0,1,28427.0,1,0,1363824000,67,18,3,19,3,3,6,2,2,0,3,8,0,0,0,0,0,0,0
1966,0,0,33279.0,0,0,1402531200,29,10,3,3,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0
1978,0,1,57867.0,1,0,1380585600,48,344,35,178,15,23,17,7,7,2,9,6,0,0,0,0,0,0,0
1950,1,0,48767.0,1,2,1388534400,79,28,1,21,3,0,10,3,2,1,3,5,0,0,0,0,0,0,0
1955,4,3,41769.0,0,1,1360713600,31,302,29,131,32,0,27,6,8,1,7,8,0,0,0,0,0,0,0
1975,4,2,17003.0,1,0,1386547200,37,2,5,12,4,8,7,3,2,0,4,5,0,0,0,0,0,0,0
1964,1,2,65526.0,0,1,1397174400,22,397,19,69,12,0,9,1,4,4,8,2,0,0,0,0,0,0,0
1968,2,2,29543.0,2,0,1396310400,47,17,3,18,3,4,18,2,3,1,2,7,0,0,0,0,0,0,0
1951,1,4,67680.0,0,1,1370908800,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0
1970,2,3,55282.0,1,0,1386892800,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0
1973,4,2,52247.25135379061,1,0,1347580800,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0
1986,3,0,8940.0,1,0,1345593600,25,1,45,3,4,6,42,3,3,1,3,8,0,0,0,0,0,0,0
1974,1,2,65352.0,0,1,1377043200,43,284,3,84,4,7,23,2,4,2,8,4,0,0,0,0,0,0,0
1965,1,2,57236.0,1,1,1394582400,22,105,0,9,2,1,4,3,2,1,4,3,0,0,0,0,0,0,0
1975,0,2,51948.0,0,1,1379376000,51,82,33,54,71,30,41,2,5,2,4,5,0,0,0,0,0,0,0
1979,4,1,60839.0,1,1,1346112000,72,600,21,128,223,150,128,13,2,2,12,8,0,0,0,0,0,0,0
1975,1,2,86836.0,0,0,1347408000,7,179,21,273,0,21,63,1,6,10,6,5,1,0,1,1,0,0,1
1975,1,2,40233.0,0,1,1381708800,84,80,4,46,0,17,2,5,2,1,5,6,0,0,0,0,0,0,0
1973,0,1,22682.0,1,0,1380758400,51,10,14,29,4,2,36,3,2,1,4,4,0,0,0,0,0,0,0
1983,0,1,28427.0,1,0,1363824000,67,18,3,19,3,3,6,2,2,0,3,8,0,0,0,0,0,0,0
1949,0,1,54591.0,0,1,1375660800,63,376,4,94,12,9,24,3,6,2,8,5,0,0,0,0,0,0,0
1970,0,0,20587.0,1,0,1399766400,39,2,3,6,4,1,9,1,1,1,2,7,0,0,0,0,0,0,0
1982,0,1,45203.0,2,0,1395532800,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,0,1
1975,4,4,47682.0,0,1,1360886400,80,162,61,83,97,57,61,4,4,3,8,5,0,0,0,0,0,0,0
1960,4,1,92556.0,0,0,1397952000,32,493,183,352,184,23,28,0,3,5,13,0,0,0,0,0,0,0,0
1956,0,2,63943.0,0,1,1346544000,50,423,184,368,13,97,21,1,6,4,6,5,0,0,0,0,0,0,0
1984,2,0,18890.0,0,0,1352505600,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1
1965,1,2,81051.0,0,0,1400803200,43,1142,29,249,38,29,14,1,5,5,12,2,0,1,1,0,0,0,0
1956,0,0,46998.0,0,1,1350864000,55,172,41,86,45,6,27,5,5,3,5,7,1,0,0,0,0,0,0
1982,0,1,71853.0,0,0,1367971200,29,358,108,413,141,97,32,1,2,8,6,1,0,0,0,0,0,0,0
1982,1,0,38513.0,1,0,1390867200,20,172,3,115,16,0,18,5,6,1,5,8,0,0,0,0,0,0,1
1949,2,1,49912.0,0,1,1346976000,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,0,1
1959,0,1,44911.0,0,1,1363305600,11,159,0,22,2,1,31,3,4,1,4,7,0,0,0,0,0,0,0
1993,0,0,72354.0,0,0,1366156800,67,315,26,473,220,12,182,1,2,10,6,1,0,0,0,0,0,0,0
1962,0,2,56181.0,0,1,1357603200,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0
1954,1,2,65324.0,0,1,1389398400,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0
1969,0,2,25293.0,1,0,1379203200,51,15,0,11,0,2,9,1,1,1,2,8,0,0,0,0,0,0,0
1989,0,2,75433.0,1,0,1396656000,28,800,0,297,0,34,57,2,2,5,10,6,0,1,0,1,0,0,0
1949,2,4,47570.0,1,1,1369785600,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1
1970,1,2,69084.0,1,0,1384819200,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0
1984,1,0,39684.0,1,0,1350000000,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1
1954,0,2,86718.0,0,0,1358380800,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0
1976,4,0,79689.0,0,0,1368316800,65,311,26,640,180,37,121,1,4,9,13,2,0,0,0,0,0,0,0
1964,2,2,64100.0,0,1,1378771200,93,509,0,27,0,0,10,1,8,3,6,7,0,1,0,0,0,0,0
1976,0,1,54058.0,0,1,1370304000,56,198,18,252,32,108,54,2,4,6,8,3,0,0,0,0,0,0,0
1968,1,2,55954.0,0,1,1393804800,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0
1947,1,4,68117.0,0,1,1362873600,80,618,44,215,0,17,36,2,11,8,4,6,1,0,0,0,0,0,1
1973,2,2,60432.0,0,1,1394323200,61,365,3,15,4,3,11,5,7,2,5,6,0,0,0,0,0,0,0
1940,1,0,51141.0,0,0,1373241600,96,144,0,7,0,0,6,1,3,1,4,5,0,0,0,0,0,0,0
1984,0,2,23228.0,1,0,1388880000,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0
1958,1,1,37334.0,1,1,1393372800,44,26,1,16,2,2,15,4,3,0,4,4,0,0,0,0,0,0,0
1961,1,1,63342.0,0,1,1350345600,48,918,21,118,13,10,21,3,8,3,5,6,0,1,0,0,0,0,0
1985,0,2,55357.0,2,0,1361232000,66,374,64,116,84,25,64,3,6,2,11,5,0,0,0,0,0,0,0
1976,0,3,31859.0,1,0,1371168000,77,3,1,3,8,0,5,1,1,0,2,7,0,0,0,0,0,0,0
1982,0,1,71853.0,0,0,1367971200,29,358,108,413,141,97,32,1,2,8,6,1,0,0,0,0,0,0,0
1962,1,3,85696.0,0,0,1367539200,88,714,76,395,116,0,12,1,4,6,9,1,0,0,0,0,0,0,1
1960,2,2,81843.0,0,0,1366588800,13,779,86,537,34,69,138,1,5,9,12,3,0,0,0,0,0,0,0
1982,0,2,37040.0,0,0,1344384000,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0
1980,0,2,15072.0,2,0,1368144000,96,8,2,15,0,10,18,4,3,1,3,5,0,0,0,0,0,0,0
1985,0,2,19986.0,1,0,1384387200,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0
1973,1,1,57906.0,0,1,1370908800,29,243,11,119,10,3,15,3,4,2,8,4,0,0,0,0,0,0,0
1980,0,0,81741.0,0,0,1371340800,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,0
1963,2,1,38620.0,0,0,1368230400,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0
1953,0,1,94384.0,0,0,1362355200,62,1111,24,790,160,45,172,0,5,8,5,2,0,1,1,1,0,0,1
1971,2,1,30538.0,1,0,1349049600,27,284,0,52,8,3,20,4,9,0,4,10,0,0,0,0,0,0,0
1956,0,1,54450.0,1,1,1347580800,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0
1953,0,0,69267.0,0,0,1348272000,31,778,44,499,95,73,146,2,3,4,5,7,0,0,0,0,0,0,1
1959,0,2,35701.0,0,0,1363651200,36,21,1,9,7,3,5,1,1,0,3,6,0,0,0,0,0,0,0
1960,0,1,13672.0,1,1,1366156800,86,6,2,9,2,1,5,2,1,0,3,8,0,0,0,0,0,0,0
1976,0,1,85606.0,0,1,1352678400,89,717,42,864,219,30,84,2,6,7,9,3,0,0,0,1,0,0,0
1979,0,0,70337.0,0,0,1388620800,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,0
1959,1,2,38829.0,0,1,1396742400,86,76,0,7,0,0,16,1,3,2,2,5,0,0,0,0,0,0,0
1952,0,1,43462.0,1,1,1347408000,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,0
1968,0,2,61314.0,0,1,1366848000,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0
1979,0,0,60474.0,0,1,1364774400,25,265,199,303,234,9,170,7,10,2,12,7,0,0,0,0,0,0,0
1972,0,2,62710.0,0,1,1369267200,53,441,35,83,7,29,11,4,4,2,12,4,0,0,0,0,0,0,0
1952,0,2,50300.0,0,1,1400976000,52,143,15,60,24,23,5,2,2,1,8,2,0,0,0,0,0,0,0
1976,4,1,26326.0,0,0,1378252800,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0
1970,0,1,40548.0,0,1,1349827200,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0
1953,0,2,37716.0,0,1,1398038400,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0
1963,1,0,46757.0,0,1,1353024000,71,777,30,163,0,51,122,6,4,4,7,9,0,0,0,0,0,0,0
1984,0,2,24570.0,1,0,1361923200,97,28,34,62,11,14,44,3,4,0,4,9,0,0,0,0,0,0,0
1973,0,2,52845.0,1,0,1376352000,7,384,25,292,130,41,64,3,8,8,6,6,1,0,0,0,0,0,0
1972,2,0,46423.0,1,1,1379462400,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0
1960,0,2,67716.0,0,1,1357776000,8,530,142,217,62,9,56,4,7,4,13,5,0,1,0,0,0,0,0
1980,4,2,96547.0,0,0,1400803200,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,0,1
1961,2,2,80950.0,0,0,1364428800,44,525,147,112,219,147,63,1,6,7,9,2,0,0,0,1,0,0,0
1954,0,3,64497.0,0,1,1347235200,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1
1975,2,0,46098.0,1,1,1345248000,86,57,0,27,0,0,36,4,3,2,2,8,0,0,0,0,0,0,0
1962,1,0,27238.0,1,1,1366416000,39,37,0,17,0,0,3,3,3,0,3,9,0,0,0,0,0,0,0
1979,0,2,58025.0,0,1,1385424000,81,270,31,88,11,48,22,3,3,2,10,4,0,0,0,0,0,0,0
1978,2,0,68092.0,0,0,1387152000,7,852,60,207,78,36,48,2,2,6,10,5,0,0,0,0,0,0,0
1974,1,0,71466.0,0,0,1396656000,86,412,12,546,78,182,0,1,4,4,10,1,0,0,0,0,0,0,0
1982,2,2,43815.0,1,0,1365120000,53,14,10,29,4,7,15,1,2,0,3,6,0,0,0,0,0,0,0
1978,0,1,70440.0,0,0,1381190400,49,690,117,499,76,102,88,1,5,10,7,3,0,0,0,1,0,0,0
1978,0,1,28587.0,1,0,1392163200,42,22,4,17,12,10,13,3,2,0,4,6,0,0,0,0,0,0,0
1978,0,2,73807.0,0,1,1357084800,88,366,124,156,71,78,54,2,5,5,11,2,0,0,0,0,0,0,0
1975,0,2,43057.0,0,1,1383091200,30,213,2,44,0,2,5,4,4,2,5,5,0,0,0,0,0,0,0
1985,4,1,7500.0,1,0,1343779200,98,5,17,17,13,14,34,4,2,1,3,9,0,0,0,0,0,0,0
1986,3,0,14906.0,0,0,1356134400,86,7,7,14,7,16,15,3,2,1,3,7,0,0,0,0,0,0,0
1984,0,1,37235.0,1,0,1391212800,68,20,2,9,4,6,20,1,1,1,2,4,0,0,0,0,0,0,0
1969,0,2,72460.0,0,0,1384387200,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,0
1978,2,2,43783.0,1,0,1401321600,22,327,9,125,25,4,139,6,7,1,8,7,1,0,0,0,0,0,0
1968,1,2,38443.0,1,1,1390780800,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,0
1976,0,2,53858.0,0,1,1352419200,50,407,53,221,58,150,26,4,4,3,6,4,0,0,0,0,0,0,0
1954,0,0,22507.0,0,0,1353715200,67,68,0,226,51,157,68,3,10,2,4,9,0,0,0,0,0,0,0
1957,1,2,44155.0,1,1,1390089600,24,22,1,9,0,0,14,1,1,1,2,4,0,0,0,0,0,0,0
1977,0,0,85072.0,0,0,1397001600,94,494,92,391,194,11,241,1,3,4,10,0,0,0,0,0,0,0,0
1978,1,2,82170.0,0,0,1385337600,13,1023,93,651,49,55,37,1,5,6,7,2,0,0,0,0,0,0,0
1987,0,2,7500.0,0,0,1357689600,94,0,2,3,4,1,5,1,0,0,3,6,0,0,0,0,0,0,0
1989,0,0,9255.0,1,0,1387497600,91,9,0,7,2,0,4,1,1,1,2,8,0,0,0,0,0,0,0
1973,2,2,38576.0,0,1,1393891200,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0
1964,0,0,81246.0,0,0,1388275200,87,398,190,537,61,156,37,1,4,5,7,1,1,0,0,1,0,0,0
1964,4,3,41713.0,1,1,1398729600,57,77,8,44,10,10,25,5,3,1,4,6,0,0,0,0,0,0,0
1980,0,2,43586.0,0,1,1346284800,26,99,2,11,4,0,16,3,3,0,4,8,0,0,0,0,0,0,0
1965,1,2,71322.0,0,1,1360972800,57,753,43,226,69,10,204,2,8,5,13,4,0,0,0,0,0,0,0
1951,2,1,39767.0,0,0,1374364800,18,113,61,204,34,26,47,2,7,1,7,8,0,0,0,0,0,0,0
1963,2,2,33562.0,1,2,1403654400,33,21,12,12,0,3,3,3,2,0,4,4,0,0,0,0,0,0,0
1976,0,0,79941.0,0,0,1403913600,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0
1964,0,3,41638.0,0,1,1360713600,68,315,0,31,4,0,91,4,5,5,3,8,1,0,0,0,0,0,0
1970,4,2,62466.0,0,1,1389744000,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0
1965,0,1,29672.0,1,1,1363046400,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0
1954,0,2,38998.0,1,1,1351900800,92,34,1,14,0,0,5,3,2,0,3,8,0,0,0,0,0,1,0
1955,0,1,53863.0,0,1,1400284800,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0
1959,0,2,54984.0,0,1,1400889600,51,173,13,131,32,3,6,4,6,1,6,7,0,0,0,1,0,0,0
1969,2,0,26877.0,0,0,1376870400,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0
1989,0,0,64449.0,1,0,1392681600,70,218,63,282,137,35,70,4,5,3,12,4,0,0,0,0,0,0,0
1964,4,2,62905.0,0,1,1378771200,68,166,75,96,119,107,59,3,7,2,8,4,0,0,0,0,0,0,0
1966,0,3,67272.0,0,1,1387584000,12,357,35,271,28,28,14,3,6,2,12,5,0,0,0,0,0,0,0
1954,1,2,36930.0,0,1,1368748800,50,223,2,31,0,2,39,5,5,2,4,8,0,0,0,0,0,0,0
1946,1,2,51012.0,0,0,1366243200,86,102,9,63,2,9,24,1,4,1,4,6,0,0,0,0,0,0,0
1975,0,4,58330.0,0,1,1387929600,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0
1982,0,0,28567.0,1,0,1371427200,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0
1989,2,3,10979.0,0,0,1400716800,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0
1967,0,2,22574.0,2,1,1382918400,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0
1964,4,0,52247.25135379061,1,1,1389484800,49,5,1,9,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0
1967,1,2,56320.0,0,1,1365379200,11,201,53,172,116,77,83,3,5,4,9,4,0,0,0,0,0,0,0
1957,0,2,43140.0,0,1,1357344000,68,134,8,76,6,0,11,1,4,1,5,6,0,0,0,0,0,0,0
1959,0,0,80982.0,1,1,1357603200,48,505,137,401,104,22,22,3,11,5,11,5,0,0,0,0,0,1,0
1972,4,2,70932.0,0,1,1390089600,57,200,193,100,46,185,185,2,6,2,12,3,0,0,0,0,0,0,0
1959,1,2,75032.0,0,1,1367107200,74,952,12,180,47,12,12,2,5,4,9,3,0,0,0,0,0,0,0
1973,3,1,27190.0,1,0,1376524800,13,1,6,7,0,1,3,1,1,0,2,8,1,0,0,0,0,0,1
1978,1,0,54880.0,1,0,1362096000,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,0
1967,0,0,79146.0,1,1,1398297600,33,245,16,223,21,43,16,2,8,1,8,6,0,0,0,0,0,0,0
1971,2,2,34109.0,0,1,1383696000,39,9,1,5,2,1,4,1,0,0,3,4,0,0,0,0,0,0,0
1961,2,2,61923.0,0,2,1374796800,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,0
1966,1,0,69759.0,0,0,1382918400,38,452,20,514,13,30,0,3,4,6,5,3,0,0,0,0,0,0,1
1957,0,0,52247.25135379061,1,1,1401148800,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0
1957,1,1,40451.0,0,2,1392508800,54,35,0,4,0,0,10,1,1,1,2,5,1,0,0,0,0,0,0
1971,1,2,42403.0,1,0,1386720000,18,22,1,11,0,5,3,1,1,0,3,8,0,0,0,0,0,0,0
1956,1,4,78028.0,0,1,1347235200,38,158,19,288,25,0,38,1,6,4,9,7,0,1,1,0,0,0,1
1964,1,2,59304.0,0,1,1375056000,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,0
1968,1,3,69674.0,0,2,1369180800,46,554,41,215,11,0,24,3,10,2,10,5,0,0,0,0,0,0,0
1986,2,0,19485.0,2,0,1379980800,80,6,0,4,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0
1989,2,3,10979.0,0,0,1400716800,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0
1951,0,0,80872.0,0,0,1399852800,60,483,72,567,94,12,108,1,4,4,10,1,0,0,0,0,0,0,0
1951,2,1,29298.0,1,1,1378512000,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0
1952,3,1,13084.0,0,0,1383350400,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0
1948,1,4,82032.0,0,0,1396656000,54,332,194,377,149,125,57,0,4,6,7,1,0,0,0,0,0,0,0
1972,0,1,64474.0,0,1,1382400000,59,381,35,172,56,86,93,2,8,2,10,5,0,0,0,0,0,0,0
1972,0,1,26290.0,1,1,1357948800,49,15,8,16,11,5,22,4,2,0,4,6,0,0,0,0,0,0,0
1950,1,2,41145.0,1,1,1391817600,20,9,0,3,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0
1958,0,3,35246.0,1,1,1397606400,53,36,0,12,2,2,10,4,3,1,3,5,0,0,0,0,0,0,0
1960,2,0,98777.0,0,0,1392595200,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0
1962,0,1,76081.0,0,0,1400803200,85,292,30,415,63,33,200,1,4,5,4,2,0,0,0,1,0,0,0
1980,0,2,50183.0,1,1,1403654400,47,97,12,84,13,10,15,7,3,1,6,5,0,0,0,0,0,0,0
1956,2,1,28839.0,1,1,1394496000,86,24,0,7,0,0,1,2,2,0,3,5,0,0,0,0,0,0,0
1951,0,1,86610.0,0,0,1378339200,66,446,107,768,33,196,53,1,5,6,6,2,0,0,0,0,0,0,0
1980,4,2,70829.0,1,1,1385856000,87,141,70,106,72,19,23,2,4,2,8,3,0,0,0,0,0,0,0
1960,0,1,62807.0,0,1,1346371200,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0
1975,1,2,80427.0,0,1,1347408000,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0
1964,0,2,82224.0,0,0,1390608000,83,307,26,360,138,31,40,1,6,9,5,3,0,0,0,1,0,0,0
1987,0,1,18227.0,1,0,1352332800,21,1,2,7,4,3,11,1,0,1,2,8,0,0,0,0,0,0,0
1971,0,1,34600.0,1,1,1356998400,8,199,33,60,8,3,15,5,5,2,5,8,0,0,0,0,0,0,1
1976,0,3,30992.0,1,0,1366588800,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0
1980,2,2,31535.0,1,0,1380153600,95,15,4,13,0,0,19,1,1,1,2,7,1,0,0,0,0,0,0
1968,2,2,70777.0,0,1,1393286400,80,554,35,113,0,7,78,3,5,3,12,3,0,0,0,0,0,0,0
1954,0,1,53103.0,0,1,1378944000,70,729,17,133,11,0,195,5,10,6,7,7,1,0,0,0,0,0,0
1978,4,1,17117.0,1,0,1358380800,96,12,23,38,30,18,7,4,3,1,3,9,0,0,0,0,0,0,0
1943,1,3,48948.0,0,0,1359676800,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1
1958,1,4,50520.0,0,1,1390867200,25,112,0,6,2,1,14,2,3,1,3,6,0,0,0,0,0,0,0
1985,4,2,36145.0,1,0,1371340800,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,1
1956,0,1,34633.0,2,1,1390435200,31,8,1,5,0,0,1,1,1,0,2,6,0,0,0,0,0,0,0
1989,1,0,33996.0,0,0,1378857600,46,40,2,15,8,0,6,1,1,1,3,4,0,0,0,0,0,0,0
1973,0,2,51148.0,1,1,1361145600,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0
1962,2,2,58646.0,0,1,1370822400,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0
1976,2,0,72309.0,0,0,1362960000,64,960,0,883,50,38,0,1,5,6,8,3,0,0,0,1,0,0,1
1973,0,0,83917.0,0,0,1366243200,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1
1965,1,3,47025.0,1,1,1391904000,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0
1964,1,1,46910.0,1,1,1395532800,36,48,0,14,0,0,6,2,2,0,3,6,0,0,0,0,0,0,0
1963,0,2,80124.0,0,0,1403740800,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,0
1956,1,0,54998.0,0,1,1362873600,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,0,1
1968,0,2,41120.0,1,1,1383696000,80,24,2,23,0,8,24,3,2,1,3,6,0,0,0,0,0,0,0
1956,2,1,54603.0,1,1,1373328000,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0
1955,0,1,65748.0,0,1,1365984000,58,172,73,93,95,78,34,2,2,4,10,1,0,0,0,0,0,1,0
1959,0,0,50664.0,1,1,1358294400,64,313,8,104,6,4,126,9,8,1,6,9,0,0,0,0,0,0,0
1974,0,2,67445.0,0,1,1344729600,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0
1954,0,3,70044.0,0,1,1361145600,46,1073,0,250,153,14,14,4,7,10,5,5,0,0,0,0,0,0,0
1951,1,2,53312.0,0,0,1376006400,32,241,0,12,0,0,25,1,5,1,5,7,0,0,0,0,0,0,0
1959,0,1,57957.0,0,1,1376870400,24,290,59,177,77,5,29,7,4,6,8,3,0,0,0,0,0,1,0
1960,2,2,47353.0,0,1,1384300800,93,184,2,19,8,8,4,3,2,2,6,5,0,0,0,0,0,0,0
1954,0,3,64587.0,1,1,1403395200,49,66,0,16,0,6,20,2,1,1,4,3,0,0,0,0,0,0,0
1957,0,1,47320.0,0,1,1375315200,10,200,19,111,50,15,19,6,5,1,8,6,0,0,0,0,0,0,0
1961,0,0,86429.0,0,0,1384992000,10,464,28,873,29,18,37,0,7,4,7,2,0,0,0,1,0,0,1
1978,4,0,38593.0,1,0,1379030400,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,0
1958,0,2,72905.0,0,0,1390262400,52,407,114,445,181,165,203,1,3,7,9,1,0,0,0,1,0,0,0
1959,2,2,34242.0,0,1,1395532800,25,8,2,4,0,0,1,1,0,0,3,5,0,0,0,0,0,0,0
